name,distance,vehicle,solving time
c103C15,348.46300291795353,3,451.01199984550476
c106C15,275.1331688731623,3,2.180999994277954
c202C15,369.56411168381396,3,32.972999811172485
c208C15,300.5485285195079,2,5.038000106811523
r102C15,412.78233699441176,6,3600.059000015259
r105C15,336.1536020996758,6,46.98399996757507
r202C15,358.0047784025535,2,794.9460000991821
r209C15,293.2004458068824,2,37.71000003814697
rc103C15,397.6698569130491,4,2107.723999977112
rc108C15,370.2464322614908,3,3507.975000143051
rc202C15,394.38713925021614,2,14.345999956130981
rc204C15,310.5753476169848,2,3600.0609998703003
