name,distance,vehicle,distance2,vehicle2,duration
c101C10,395.572378510221,3,470.1811810287361,4,367.1512508392334
c104C10,306.4460822150803,2,343.6953553240856,2,1690.4154007434845
c202C10,301.6247391837055,2,307.54872014013665,2,1380.790644645691
c205C10,258.6605654397654,2,266.7813516039979,2,437.7475895881653
r102C10,308.8183619142982,4,343.4819250877863,4,234.7349991798401
r103C10,209.46530121548315,2,234.90399834049583,2,264.7579131126404
r201C10,241.50588097694074,1,289.25444122193426,2,673.933581829071
r203C10,218.21349934666463,1,264.46278799854747,2,1635.4313616752625
rc102C10,447.0971919890576,4,544.1851908090744,6,235.38471150398254
rc108C10,384.7227406116822,3,506.8843519777837,4,348.9712653160095
rc201C10,412.8613945710645,1,412.9948234202406,1,590.0394022464752
rc205C10,399.9655733050854,2,404.9529643788021,2,620.7734627723694
