name,distance,vehicle,distance2,vehicle2,duration
c101C5,257.7474518641999,2,257.7474518641999,2,11.385022401809692
c103C5,175.36923499816425,1,184.49780808583205,1,31.879647493362427
c206C5,242.55565171501314,1,299.5720563875407,1,27.426952362060547
c208C5,158.4806595843039,1,174.81675672260852,1,13.252728939056396
r104C5,167.0608938149187,2,167.0608938149187,2,9.648955821990967
r105C5,168.47107391852572,2,168.47107391852572,2,12.446674108505249
r202C5,128.77713907172878,1,146.6656828917271,1,13.574009418487549
r203C5,179.05589081805485,1,194.18541527186414,1,58.86481308937073
rc105C5,241.8893930772059,3,256.9704550963785,3,16.042179107666016
rc108C5,316.5092433122376,3,316.5092433122376,3,25.327082633972168
rc204C5,176.39404311284602,1,185.44429495781895,1,56.649364709854126
rc208C5,167.98346924988414,1,192.89728812659496,1,64.13797569274902
