name,distance,vehicle,solving time
c101C10,388.2454433448223,4,5.259999990463257
c104C10,273.9312371287162,2,2.9160001277923584
c202C10,243.20345158179612,2,0.7790000438690186
c205C10,228.28115939337096,2,0.24900007247924805
r102C10,249.18931995294582,3,1.5360000133514404
r103C10,202.85268574464007,3,15.437999963760376
r201C10,217.67540951101344,3,1.0370001792907715
r203C10,218.21349934666463,1,2.9230000972747803
rc102C10,423.5101819239309,4,1.3980000019073486
rc108C10,345.9273200107132,3,2.0799999237060547
rc201C10,310.05734702300424,4,0.48199987411499023
rc205C10,325.97744594735093,3,0.9029998779296875
